AAPL,HPQ
ABX,GG
ABX,IAU
ABX,NEM
APC,CHK
APC,DVN
AXP,COF
BAC,JPM
BHP,FCX
CAT,DE
CENX,FCX
CENX,NUE
CHK,DVN
COP,CVX
CS,DB
CSX,NSC
CVX,XOM
DAL,UAL
DRYS,GNK
DSX,GNK
EGLE,GNK
GG,ABX
GG,GLD
GG,KGC
GG,NEM
HD,LOW
IEF,TLT
INTC,SMH
KGC,NEM
T,VZ
UGA,USO
